# WOLF (Wordnet Libre du Français)	fra	http://alpage.inria.fr/~sagot/wolf-en.html	CeCILL-C
00008007-r	fra:lemma	tout à fait
00008195-v	fra:lemma	chauve-souris
00008435-v	fra:lemma	ciller
00008600-r	fra:lemma	mais
00008600-r	fra:lemma	seul
00008600-r	fra:lemma	uniquement
00008600-r	fra:lemma	que
00008600-r	fra:lemma	exclusivement
00008600-r	fra:lemma	seulement
00008602-v	fra:lemma	strabisme
00008997-r	fra:lemma	entièrement
00008997-r	fra:lemma	vraiment
00008997-r	fra:lemma	absolument
00008997-r	fra:lemma	totalement
00008997-r	fra:lemma	parfaitement
00009046-a	fra:lemma	tempérant
00009147-v	fra:lemma	muer
00009373-r	fra:lemma	nettoyer
00009373-r	fra:lemma	prune
00009373-r	fra:lemma	prunier
00009492-v	fra:lemma	desquamer
00009541-r	fra:lemma	prune
00009541-r	fra:lemma	prunier
00009618-a	fra:lemma	ascétique
00009618-a	fra:lemma	ascète
00009631-v	fra:lemma	tic
00009650-r	fra:lemma	parfaitement
00009966-r	fra:lemma	s'il te plaît
00009966-r	fra:lemma	s'il vous plaît
00009978-a	fra:lemma	vorace
00009978-a	fra:lemma	gourmand
00009978-a	fra:lemma	avide
00009978-a	fra:lemma	goulu
00009978-a	fra:lemma	glouton
00010047-r	fra:lemma	imparfaitement
00010435-v	fra:lemma	agir
00010435-v	fra:lemma	se comporter
00010466-r	fra:lemma	entièrement
00010466-r	fra:lemma	plein
00010466-r	fra:lemma	absolument
00010466-r	fra:lemma	totalement
00010466-r	fra:lemma	entier
00010466-r	fra:lemma	complètement
00010466-r	fra:lemma	en entier
00010726-a	fra:lemma	rapace
00010726-a	fra:lemma	vorace
00010759-r	fra:lemma	uniquement
00010759-r	fra:lemma	seul
00010759-r	fra:lemma	seulement
00010914-r	fra:lemma	seul
00010914-r	fra:lemma	seulement
00011011-r	fra:lemma	seul
00011011-r	fra:lemma	seulement
00011093-r	fra:lemma	alors
00011093-r	fra:lemma	puits
00011093-r	fra:lemma	bien
00011093-r	fra:lemma	bon
00011160-a	fra:lemma	cupide
00011160-a	fra:lemma	goulu
00011160-a	fra:lemma	glouton
00011516-r	fra:lemma	faiblement
00011516-r	fra:lemma	malade
00011516-r	fra:lemma	mal
00011551-v	fra:lemma	présumer
00011757-a	fra:lemma	abstraire
00011757-a	fra:lemma	abstrait
00011916-r	fra:lemma	malade
00012129-r	fra:lemma	alors
00012129-r	fra:lemma	puits
00012129-r	fra:lemma	bien
00012137-v	fra:lemma	menace
00012286-r	fra:lemma	mal
00012362-a	fra:lemma	conceptuel
00012434-v	fra:lemma	pavaner
00012531-r	fra:lemma	puits
00012531-r	fra:lemma	facilement
00012531-r	fra:lemma	mieux
00012531-r	fra:lemma	également
00012613-v	fra:lemma	geler
00012613-v	fra:lemma	devenir glacial
00012689-a	fra:lemma	idéal
00012779-r	fra:lemma	bien
00012779-r	fra:lemma	puits
00012932-a	fra:lemma	idéologique
00013092-r	fra:lemma	alors
00013092-r	fra:lemma	puits
00013092-r	fra:lemma	bien
00013160-a	fra:lemma	concret
00013160-a	fra:lemma	béton
00013236-r	fra:lemma	malade
00013236-r	fra:lemma	mal
00013328-v	fra:lemma	jouer
00013328-v	fra:lemma	jouet
00013328-v	fra:lemma	jeu
00013429-r	fra:lemma	bien
00013429-r	fra:lemma	puits
00013442-a	fra:lemma	objectif
00013615-v	fra:lemma	représenter
00013615-v	fra:lemma	jeu
00013615-v	fra:lemma	jouer
00013615-v	fra:lemma	sembler
00013615-v	fra:lemma	agir
00013615-v	fra:lemma	présenter
00013626-r	fra:lemma	largement
00013626-r	fra:lemma	bien
00013626-r	fra:lemma	puits
00013626-r	fra:lemma	richement
00013662-a	fra:lemma	réel
00013662-a	fra:lemma	tangible
00013793-r	fra:lemma	avantageusement
00013793-r	fra:lemma	bien
00013793-r	fra:lemma	heureusement
00013793-r	fra:lemma	puits
00013793-r	fra:lemma	favorablement
00013887-a	fra:lemma	ample
00013887-a	fra:lemma	large
00013887-a	fra:lemma	profus
00013887-a	fra:lemma	abondant
00013887-a	fra:lemma	plantureux
00013887-a	fra:lemma	copieux
00014014-r	fra:lemma	tant
00014014-r	fra:lemma	cruellement
00014014-r	fra:lemma	durement
00014014-r	fra:lemma	mal
00014201-v	fra:lemma	frissonner
00014285-r	fra:lemma	amplement
00014285-r	fra:lemma	puits
00014285-r	fra:lemma	terriblement
00014285-r	fra:lemma	bien
00014285-r	fra:lemma	sérieusement
00014285-r	fra:lemma	copieusement
00014285-r	fra:lemma	largement
00014285-r	fra:lemma	considérablement
00014405-v	fra:lemma	se reposer
00014490-a	fra:lemma	ample
00014490-a	fra:lemma	large
00014490-a	fra:lemma	profus
00014490-a	fra:lemma	abondant
00014490-a	fra:lemma	plantureux
00014490-a	fra:lemma	grand
00014616-r	fra:lemma	alors
00014616-r	fra:lemma	puits
00014616-r	fra:lemma	bien
00014738-r	fra:lemma	mal
00014742-v	fra:lemma	dormir
00014858-a	fra:lemma	étendu
00014858-a	fra:lemma	ample
00014858-a	fra:lemma	large
00014858-a	fra:lemma	profus
00014858-a	fra:lemma	abondant
00014858-a	fra:lemma	plantureux
00014858-a	fra:lemma	copieux
00014882-r	fra:lemma	bien
00014882-r	fra:lemma	puits
00015007-r	fra:lemma	alors
00015007-r	fra:lemma	puits
00015007-r	fra:lemma	bien
00015097-a	fra:lemma	facile
00015135-r	fra:lemma	alors
00015135-r	fra:lemma	puits
00015135-r	fra:lemma	bien
00015247-a	fra:lemma	ample
00015247-a	fra:lemma	large
00015247-a	fra:lemma	profus
00015247-a	fra:lemma	abondant
00015247-a	fra:lemma	plantureux
00015247-a	fra:lemma	copieux
00015247-a	fra:lemma	luxuriant
00015303-v	fra:lemma	somnoler
00015388-n	fra:lemma	bête
00015388-n	fra:lemma	créature
00015388-n	fra:lemma	faune
00015388-n	fra:lemma	animal
00015388-n	fra:lemma	être
00015471-r	fra:lemma	bien
00015471-r	fra:lemma	alors
00015471-r	fra:lemma	comme ça
00015471-r	fra:lemma	proprement
00015471-r	fra:lemma	est bon
00015471-r	fra:lemma	bon
00015498-v	fra:lemma	sieste
00015589-a	fra:lemma	long
00015854-a	fra:lemma	abondant
00015860-r	fra:lemma	largement
00015946-v	fra:lemma	hiberner
00015953-r	fra:lemma	sérieusement
00015953-r	fra:lemma	gravement
00015953-r	fra:lemma	mal
00015953-r	fra:lemma	sévèrement
00016240-r	fra:lemma	mal
00016240-r	fra:lemma	mauvais
00016458-r	fra:lemma	mal
00016458-r	fra:lemma	mauvais
00016647-a	fra:lemma	vert
00016678-r	fra:lemma	malicieusement
00016678-r	fra:lemma	mal
00016756-a	fra:lemma	insuffisant
00016950-r	fra:lemma	mal
00017024-a	fra:lemma	rare
00017031-v	fra:lemma	vrombir
00017031-v	fra:lemma	ronfler
00017077-r	fra:lemma	pire
00017077-r	fra:lemma	pis
00017222-n	fra:lemma	végétal
00017222-n	fra:lemma	plante
00017222-n	fra:lemma	flore
00017282-v	fra:lemma	s'endormir
00017445-r	fra:lemma	voire
00017445-r	fra:lemma	encore
00017639-r	fra:lemma	encore
00017639-r	fra:lemma	même
00017782-a	fra:lemma	admissible
00017782-a	fra:lemma	acceptable
00017865-v	fra:lemma	lit
