# Open Dutch WordNet	nld	http://wordpress.let.vupr.nl/odwn/	CC BY SA 4.0
01499602-a	nld:lemma	vleesloos
02908235-a	nld:lemma	geofysisch
00597758-a	nld:lemma	voortgezet
01146207-a	nld:lemma	ongrammaticaal
01323096-a	nld:lemma	inspirerend
01192248-a	nld:lemma	lichtvoetig
01425300-a	nld:lemma	Haspengouws
02028367-a	nld:lemma	verzorgd
00491971-a	nld:lemma	hydrofiel
01057775-a	nld:lemma	reukloos
02896017-a	nld:lemma	mnemotechnisch
01681607-a	nld:lemma	ontregeld
02786744-a	nld:lemma	radiologisch
00240417-a	nld:lemma	stereofonisch
03071651-a	nld:lemma	Haïtiaans
02688369-a	nld:lemma	koppotig
02674530-a	nld:lemma	kalkhoudend
01982646-a	nld:lemma	gerenommeerd
02749971-a	nld:lemma	interlineair
01656628-a	nld:lemma	bijgesloten
00472992-a	nld:lemma	brandbaar
02956137-a	nld:lemma	orkestraal
01470913-a	nld:lemma	magnetisch
02286083-a	nld:lemma	stemhebbend
00884778-a	nld:lemma	ondernemend
02837145-a	nld:lemma	radiografisch
01170069-a	nld:lemma	koortswerend
03019114-a	nld:lemma	proteolytisch
02784558-a	nld:lemma	bloeddrukverhogend
02720484-a	nld:lemma	epenthetisch
02785757-a	nld:lemma	eiwitachtig
02123743-a	nld:lemma	uitgeschakeld
00142040-a	nld:lemma	kruimelig
02670899-a	nld:lemma	brisant
00247013-a	nld:lemma	smetteloos
00465737-a	nld:lemma	inklapbaar
00465737-a	nld:lemma	opvouwbaar
00828779-a	nld:lemma	eetbaar
02651014-a	nld:lemma	autoritair
03022003-a	nld:lemma	etymologisch
00475996-a	nld:lemma	geriefelijk
00930290-a	nld:lemma	onverwacht
02952814-a	nld:lemma	danig
03043173-a	nld:lemma	voorhuwelijks
00175719-a	nld:lemma	subsonisch
00298041-a	nld:lemma	socialistisch
02804139-a	nld:lemma	subarctisch
02908041-a	nld:lemma	thermodynamisch
00291665-a	nld:lemma	zusterlijk
00046109-a	nld:lemma	adaptief
03081681-a	nld:lemma	lithografisch
02971192-a	nld:lemma	Weens
00873251-a	nld:lemma	exogeen
02215977-a	nld:lemma	meerder
02350353-a	nld:lemma	onbewaakt
03022739-a	nld:lemma	propagandistisch
02359464-a	nld:lemma	verbazingwekkend
02768271-a	nld:lemma	neoplastisch
00535452-a	nld:lemma	concaaf
01272397-a	nld:lemma	aantoonbaar
02721877-a	nld:lemma	ergonomisch
00025728-a	nld:lemma	alkalisch
00937985-a	nld:lemma	verstreken
02796042-a	nld:lemma	semiotisch
02407603-a	nld:lemma	relaxed
00483048-a	nld:lemma	disproportioneel
01955031-a	nld:lemma	geolied
02898584-a	nld:lemma	cognitief
00013887-a	nld:lemma	overvloedig
02873811-a	nld:lemma	vasculair
02657619-a	nld:lemma	bacteriostatisch
02370329-a	nld:lemma	onvermoed
02967485-a	nld:lemma	Boliviaans
02897957-a	nld:lemma	bouwkundig
02817113-a	nld:lemma	klonisch
01759362-a	nld:lemma	irreversibel
03019836-a	nld:lemma	folliculair
02954459-a	nld:lemma	anglicaans
00810916-a	nld:lemma	bronstig
02377418-a	nld:lemma	diachronisch
02033868-a	nld:lemma	gehoornd
02846322-a	nld:lemma	diëtisch
02377651-a	nld:lemma	synchroon
01195536-a	nld:lemma	nuttig
02771174-a	nld:lemma	onomastisch
02795925-a	nld:lemma	geleidend
01798828-a	nld:lemma	gestudeerd
02638392-a	nld:lemma	oudheidkundig
00105566-a	nld:lemma	emmetroop
02814878-a	nld:lemma	thermo-elektrisch
02650795-a	nld:lemma	absolutistisch
01759362-a	nld:lemma	onomkeerbaar
02904916-a	nld:lemma	Florentijns
02435671-a	nld:lemma	onuitstaanbaar
02906351-a	nld:lemma	demografisch
02930765-a	nld:lemma	rabbijns
00357983-a	nld:lemma	ongebruikelijk
01739987-a	nld:lemma	onverhard
00829496-a	nld:lemma	oneetbaar
02409849-a	nld:lemma	thermoplastisch
02783412-a	nld:lemma	preklinisch
01360413-a	nld:lemma	rimpelig
02947019-a	nld:lemma	monistisch
00023383-a	nld:lemma	verkeerd
00181030-a	nld:lemma	autogeen
03073251-a	nld:lemma	homerisch
03019483-a	nld:lemma	mitotisch
03020193-a	nld:lemma	utopisch
01497736-a	nld:lemma	zinloos
00939105-a	nld:lemma	onverklaarbaar
01057775-a	nld:lemma	geurloos
02283188-a	nld:lemma	opgewekt
02978000-a	nld:lemma	Andorraans
02097268-a	nld:lemma	verleidelijk
00046673-a	nld:lemma	onaangepast
02834730-a	nld:lemma	vijfhoekig
02336449-a	nld:lemma	ontoereikend
02626294-a	nld:lemma	hermeneutisch
01364008-a	nld:lemma	bedroefd
02711846-a	nld:lemma	diametraal
01323334-a	nld:lemma	ongeïnspireerd
02907000-a	nld:lemma	theologisch
03148653-a	nld:lemma	uitstekend
02958126-a	nld:lemma	Teutoons
01323449-a	nld:lemma	leerzaam
01246579-a	nld:lemma	vriendschappelijk
02942958-a	nld:lemma	fylogenetisch
00562469-a	nld:lemma	ongerijmd
02057535-a	nld:lemma	sadistisch
01319182-a	nld:lemma	ongedeerd
02946507-a	nld:lemma	Atlantisch
00955405-a	nld:lemma	onspeelbaar
00893441-a	nld:lemma	afgewogen
01395330-a	nld:lemma	hoger
01195536-a	nld:lemma	behulpzaam
02758328-a	nld:lemma	macaronisch
02911627-a	nld:lemma	statistisch
02955996-a	nld:lemma	unitaristisch
